idSponsor,VoteMonth,VoteYear,VoteCount
92,2,2017,219
93,2,2017,219
94,2,2017,219
95,2,2017,219
96,2,2017,219
97,2,2017,219
98,2,2017,219
99,2,2017,219
100,2,2017,168
101,2,2017,168
102,2,2017,168
103,2,2017,168
104,2,2017,168
105,2,2017,168
106,2,2017,168
107,2,2017,168
108,2,2017,168
109,2,2017,168
110,2,2017,168
112,2,2017,168
113,2,2017,168
114,2,2017,168
115,2,2017,168
116,2,2017,168
117,2,2017,168
118,2,2017,168
119,2,2017,168
120,2,2017,168
121,2,2017,168
122,2,2017,168
123,2,2017,168
124,2,2017,168
125,2,2017,168
126,2,2017,168
127,2,2017,168
128,2,2017,168
129,2,2017,168
130,2,2017,168
131,2,2017,168
132,2,2017,168
133,2,2017,168
134,2,2017,168
135,2,2017,168
136,2,2017,168
137,2,2017,168
138,2,2017,168
139,2,2017,168
140,2,2017,168
141,2,2017,168
142,2,2017,168
143,2,2017,168
144,2,2017,168
145,2,2017,168
146,2,2017,168
147,2,2017,168
148,2,2017,168
149,2,2017,168
1,3,2017,476
2,3,2017,476
3,3,2017,476
4,3,2017,476
5,3,2017,476
6,3,2017,476
7,3,2017,476
8,3,2017,476
9,3,2017,476
10,3,2017,476
11,3,2017,476
12,3,2017,476
13,3,2017,476
14,3,2017,476
15,3,2017,476
16,3,2017,476
17,3,2017,476
18,3,2017,476
19,3,2017,476
20,3,2017,476
21,3,2017,476
22,3,2017,476
23,3,2017,476
24,3,2017,476
25,3,2017,476
26,3,2017,476
27,3,2017,476
28,3,2017,476
29,3,2017,476
30,3,2017,476
31,3,2017,476
32,3,2017,476
33,3,2017,476
34,3,2017,476
35,3,2017,476
36,3,2017,476
37,3,2017,476
38,3,2017,476
39,3,2017,476
40,3,2017,476
41,3,2017,476
42,3,2017,476
43,3,2017,476
44,3,2017,476
45,3,2017,476
46,3,2017,476
47,3,2017,476
48,3,2017,476
49,3,2017,476
50,3,2017,476
51,3,2017,476
52,3,2017,476
53,3,2017,476
54,3,2017,476
55,3,2017,476
56,3,2017,476
57,3,2017,476
58,3,2017,476
59,3,2017,476
60,3,2017,476
61,3,2017,476
62,3,2017,476
63,3,2017,476
64,3,2017,476
65,3,2017,476
66,3,2017,476
67,3,2017,476
68,3,2017,476
69,3,2017,476
70,3,2017,476
71,3,2017,476
72,3,2017,476
73,3,2017,476
74,3,2017,476
75,3,2017,476
76,3,2017,476
77,3,2017,476
78,3,2017,476
79,3,2017,476
80,3,2017,476
82,3,2017,476
83,3,2017,476
84,3,2017,476
85,3,2017,476
86,3,2017,476
87,3,2017,476
88,3,2017,476
89,3,2017,476
90,3,2017,476
91,3,2017,476
92,3,2017,476
93,3,2017,476
94,3,2017,476
95,3,2017,476
96,3,2017,476
97,3,2017,476
98,3,2017,476
99,3,2017,476
100,3,2017,372
101,3,2017,372
102,3,2017,372
103,3,2017,372
104,3,2017,372
105,3,2017,372
106,3,2017,372
107,3,2017,372
108,3,2017,372
