id_visitor,dim_device_app_combo
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,Desktop - Safari
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,Desktop - Safari
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,Desktop - Safari
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,Desktop - Safari
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,Desktop - Safari
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,iPhone - Moweb
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,iPhone - Moweb
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,Desktop - Chrome
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,Other - Other
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,Desktop - Safari
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,iPhone - Web
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,iPhone - Moweb
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,Desktop - Chrome
a03a4a69-b6ac-4a28-82a2-5b39b9e7ba84,Desktop - Safari
2ec41206-3c49-4841-91c1-9f4deed80a89,iPhone - Moweb
2ec41206-3c49-4841-91c1-9f4deed80a89,iPhone - iOS
2ec41206-3c49-4841-91c1-9f4deed80a89,iPhone - iOS
2ec41206-3c49-4841-91c1-9f4deed80a89,iPhone - iOS
2ec41206-3c49-4841-91c1-9f4deed80a89,iPhone - iOS
2ec41206-3c49-4841-91c1-9f4deed80a89,iPhone - iOS
2ec41206-3c49-4841-91c1-9f4deed80a89,iPhone - iOS
2ec41206-3c49-4841-91c1-9f4deed80a89,iPhone - iOS
31e77a58-041f-45ac-a5d8-cf2fad2ba79a,Android Phone - Android
31e77a58-041f-45ac-a5d8-cf2fad2ba79a,Desktop - Chrome
